Recipient Adygei Armenian Balochi BantuKenya BantuSouthAfrica Basque Bedouin Belorussian BiakaPygmy Bulgarian Burusho Cambodian Chuvash Colombian Cypriot Dai Daur Druze EastSicilian Egyptian English Ethiopian EthiopianJew Finnish French Georgian GermanyAustria Greek Hadza Han HanNchina Hazara Hezhen Hungarian IndianJew Indian Iranian Ireland Japanese Jordanian Kalash Karitiana Lahu Lezgin Lithuanian Makrani Mandenka Maya MbutiPygmy Melanesian Miao Mongola Moroccan Mozabite Myanmar Naxi NorthItalian Norwegian Orcadian Oroqen Palestinian Papuan Pathan Pima Polish Romanian Russian Sandawe SanNamibia SanKhomani Sardinian Saudi Scottish She Sindhi SouthItalian Spanish Surui Syrian Tu Tujia Tunisian Turkish Tuscan UAE Uygur Uzbekistani Welsh WestSicilian Xibo Yakut Yemeni Yi
BrahuiYorubaSimulation1 3.123583 3.599480 9.773478 7.190375 4.223343 4.918864 9.480834 2.261530 12.377521 4.849069 5.960870 1.562098 4.931216 1.383481 2.872931 1.562066 1.675805 10.863183 1.959928 3.172602 0.824308 5.731086 5.364004 0.382410 5.911500 7.428863 1.923893 4.122807 0.511883 6.199162 1.471077 5.435434 1.479788 2.630148 4.621592 5.476038 3.568639 2.095818 4.022644 4.351555 4.510117 2.900478 1.303320 4.361477 1.759414 13.523699 14.163128 4.649999 4.799958 1.521366 1.662180 1.520310 8.352464 6.129588 0.526913 1.076043 1.931044 4.663327 2.782638 1.526744 8.983230 3.128451 5.825707 1.722830 4.029623 2.667861 6.764763 7.820804 1.821531 8.445950 6.892959 2.770101 2.040003 1.540246 9.644483 4.123541 7.686376 1.208779 4.464951 2.668855 2.854349 3.446114 3.778733 2.236064 1.600234 2.198451 2.908692 0.956041 2.454242 1.379573 4.837686 1.168098 1.724917
BrahuiYorubaSimulation2 6.870220 3.870848 14.290541 5.189027 2.892678 4.224091 16.061916 1.868529 6.573388 3.868689 9.103385 1.626671 4.164296 0.769401 3.846009 1.430463 1.049289 8.895463 2.637947 2.321083 1.562666 3.295205 2.581750 0.280067 6.335463 5.827918 0.989448 5.194960 1.650033 5.273172 1.682458 3.931964 1.805360 4.073134 2.642788 4.926074 5.410292 1.691588 4.355758 4.973469 9.344137 1.573268 1.035672 4.845974 3.847696 10.386193 6.325485 3.934249 2.024232 3.408717 1.442372 1.168527 6.766262 6.750825 0.394164 0.912654 2.436058 3.953886 4.084218 1.469510 12.027292 3.097059 5.142045 2.468892 2.982992 3.364291 5.105768 12.245001 0.393100 5.984580 4.339452 2.180201 2.138402 1.367548 10.156398 3.134506 5.867872 1.037395 5.509595 2.187335 2.104981 2.914893 5.061676 1.472197 2.923142 2.647316 3.372607 0.629001 3.220023 1.386993 3.773281 1.878508 1.519305
BrahuiYorubaSimulation3 3.589078 4.468583 14.355541 10.513046 6.665664 4.143336 11.768287 0.929850 12.193761 3.424455 5.002834 1.870720 3.345390 0.824488 1.936884 0.993341 1.055304 10.625790 1.700109 1.630375 1.163288 4.949266 2.731994 0.478779 4.973709 4.304225 0.838522 3.862063 1.172808 5.373648 1.406304 5.489608 0.958296 3.557500 2.328005 2.789599 4.789633 0.935126 2.923347 3.485628 5.016766 1.932407 1.675733 3.930710 1.889015 11.437345 25.354180 2.846502 5.439550 1.553222 1.125761 2.853039 7.090401 8.827582 0.244967 0.971959 1.758614 4.174905 2.644713 1.135291 9.969923 2.631486 8.931103 1.321814 3.186866 1.801574 5.299817 10.880188 1.867575 9.899217 5.401357 1.643914 0.890780 0.924545 6.030637 4.963860 6.591467 1.350462 4.366570 1.079465 1.135318 2.297471 3.985276 1.092466 1.289130 2.073390 2.478452 0.688002 1.700362 1.680977 3.913670 0.723075 1.333722
BrahuiYorubaSimulation4 2.948091 4.161860 12.277831 13.891611 6.843585 4.642468 11.565153 2.541703 18.174101 4.514204 7.518937 2.105782 3.675950 0.884719 2.930758 2.007224 1.257676 7.791807 2.149690 2.806310 0.897832 6.965940 2.710012 0.510827 7.109090 4.169529 0.623500 4.034132 0.640962 5.150152 1.654860 4.964889 0.986615 2.632443 2.790622 4.408236 3.485161 2.322439 4.197691 4.453456 6.599419 1.685958 1.037991 3.569673 3.236101 7.444418 25.650856 3.074698 6.564649 1.493111 1.287501 1.258072 5.192351 7.133787 0.387316 0.918597 2.300223 5.084439 3.141854 1.183096 10.994985 2.282191 7.840349 1.920907 3.699841 3.928004 5.917104 15.957859 2.756049 17.515027 4.802941 2.591668 0.933937 1.454127 7.042702 3.942558 6.308927 1.543540 2.720671 1.682045 1.305248 2.746410 3.590995 1.524653 3.508904 2.302414 2.413951 0.516120 2.187866 1.383642 2.939736 2.220084 1.180280
BrahuiYorubaSimulation5 4.127279 3.977078 12.774687 5.471971 5.619058 5.300566 8.637842 1.509444 6.081452 4.728247 7.772190 2.855507 2.348313 1.120672 3.602105 1.816842 0.940342 9.615488 1.551171 3.041064 1.100124 6.367971 4.344810 0.686624 4.771991 4.623093 1.160638 4.023905 1.096537 5.084702 2.169602 4.652450 1.222715 3.622810 2.940824 3.568463 3.007350 1.269371 4.340824 4.184312 5.810734 2.227727 1.268133 4.127066 1.691739 8.764993 10.349873 2.922677 3.953694 1.503062 1.312090 1.209644 4.671306 8.070429 0.561881 1.318060 2.616988 4.493751 4.164830 1.410231 12.386804 3.675048 8.009975 1.981699 3.488475 3.283911 5.222193 7.859785 1.191123 5.752529 6.226985 3.520351 1.057628 1.722885 10.849097 4.532148 7.065218 2.723887 4.354202 1.205450 2.407192 4.374213 3.636715 1.501311 3.722820 3.405238 2.513438 0.998364 2.213670 1.457047 4.106768 1.086590 1.069137
BrahuiYorubaSimulation6 4.641342 3.212052 20.998072 3.923339 2.803661 4.287009 11.288840 2.384326 5.305074 4.372877 7.059197 1.239372 3.628592 1.113101 3.540740 1.562130 1.547137 10.251815 1.700665 2.212513 1.797557 4.442693 2.371126 0.995312 7.271842 4.860687 0.554980 3.333213 1.576276 4.824685 1.247634 5.800846 1.415261 4.297671 3.340963 3.703916 2.658793 2.179807 3.706661 4.077706 5.050747 1.829073 1.506546 6.136150 1.719955 11.699635 8.815887 3.071147 1.723797 1.649195 1.484094 1.618892 3.673753 3.792746 0.334095 1.301311 2.281944 3.490202 3.231690 1.174106 9.334760 3.712894 11.056839 2.471167 4.404118 2.063781 5.228783 4.849769 0.510651 4.097408 6.150899 1.493951 0.942421 1.277971 7.728975 2.914073 6.620897 1.296193 3.519979 1.624180 1.757279 2.051728 3.479884 1.684356 3.067246 1.961193 3.383397 0.987391 2.017715 2.125425 5.504182 1.813475 2.144747
BrahuiYorubaSimulation7 3.849881 4.094799 16.272092 6.095962 1.479010 5.338046 12.909819 1.359454 6.270092 3.998799 8.417195 1.308138 3.053317 0.967804 2.481290 1.275796 1.070992 10.335143 2.003730 2.530028 1.028905 4.075930 3.625441 0.544277 6.033575 4.407659 1.062422 3.695503 0.455896 4.072247 0.966373 4.359551 1.046089 5.166724 1.573655 5.244525 4.009206 2.670727 4.433632 5.210621 4.799530 1.868042 1.104830 5.527653 3.005927 17.659366 8.585361 4.094614 1.937257 1.159988 1.124135 1.217446 3.657664 4.446533 0.764150 1.061494 2.569388 3.789234 2.370236 1.090569 11.777541 4.728076 6.982214 2.476547 3.108003 2.848887 5.180578 7.580098 0.298358 6.375664 5.289107 2.701387 0.711309 0.974479 7.012439 3.685838 6.289260 0.955412 3.040113 1.596855 1.231947 3.684408 4.987774 1.598475 1.842566 1.870369 2.528489 1.303477 2.556555 1.629205 3.591440 3.405944 1.513478
BrahuiYorubaSimulation8 4.230078 3.865096 14.401336 3.118739 3.216617 4.600086 11.717003 1.454610 8.527323 3.312347 6.030979 1.170769 2.897501 1.381418 2.373869 1.302670 1.405383 11.437118 2.632113 3.033518 1.735766 4.769138 2.529583 0.489542 6.208788 4.953044 0.874138 5.259020 0.668564 4.072096 1.406062 7.864716 1.556332 3.658461 2.324085 2.501220 4.426473 0.923827 4.219365 3.691129 6.237053 2.588737 1.309308 3.834665 2.558999 8.731188 11.728735 4.883624 2.613159 1.409049 1.394513 1.053941 4.541005 4.050673 0.448951 0.804883 3.030344 4.069344 4.694867 0.942749 15.200677 1.976722 8.708782 2.542173 4.080108 2.434757 5.655131 5.577079 0.809962 7.323102 7.040013 2.459601 1.288562 0.936934 10.917017 3.908804 6.694082 0.873458 5.107035 2.090433 1.226084 2.894972 3.591471 2.177667 2.804928 1.637260 4.118648 0.761763 2.846243 2.576554 3.516804 0.943511 1.434861
BrahuiYorubaSimulation9 3.596317 4.555067 17.297850 3.535654 4.128674 5.569804 8.417558 1.393422 5.400714 3.666826 5.521715 2.591381 4.414296 0.859657 1.846731 1.314841 1.318011 9.461312 2.125503 2.503484 0.790810 4.789989 4.096246 0.383877 6.452901 4.120825 0.587440 3.611620 1.441009 4.860944 1.481180 4.205659 0.833667 3.814125 1.943956 3.963460 3.816728 2.389760 3.285939 3.383912 5.640181 1.371156 1.067700 3.156050 2.619185 11.171560 8.265175 3.010506 3.978732 1.156348 1.588369 1.285038 4.131550 6.764588 0.291092 0.912173 3.839640 3.150396 1.989391 2.491455 10.685518 2.542534 6.430568 1.815006 3.748738 1.975338 5.417046 7.507036 1.550203 5.839072 6.848909 1.560848 0.810402 1.139988 7.894613 4.673020 6.009612 2.145118 2.372131 1.615285 1.620946 3.175119 3.626044 1.281062 1.996635 1.536979 1.956975 0.479800 2.280221 1.051092 4.613193 0.448883 1.159109
BrahuiYorubaSimulation10 3.778742 5.887417 12.522948 3.752005 4.435900 5.098936 10.260417 2.320632 4.647020 4.526271 8.118971 1.266784 5.216240 0.902831 2.780938 1.869845 0.963936 11.593546 1.976398 2.829727 1.458971 3.169864 2.948573 0.557684 7.099039 6.449170 1.359210 5.129146 0.456387 3.586441 1.295322 3.506743 0.931375 4.075728 1.312760 4.017019 4.951649 1.292456 4.150159 4.689998 6.325636 1.588475 1.149541 5.942278 2.590957 14.927281 10.405843 3.146724 2.969266 1.985604 1.128729 1.696047 4.518163 6.163106 0.427492 0.886100 3.167193 3.186107 3.609141 1.099035 10.213632 2.722734 8.896047 1.740152 4.262391 4.045302 5.317958 7.078153 0.529781 6.908050 4.833042 3.487533 1.253654 0.903674 12.420472 4.446976 8.925152 1.176336 3.762950 1.412180 1.175965 3.334776 3.410448 1.505557 1.952410 2.042080 3.173038 0.969363 2.801248 1.333392 3.802872 0.559155 1.962898
