Recipient Adygei Armenian Balochi BantuKenya BantuSouthAfrica Basque Bedouin Belorussian BiakaPygmy Bulgarian Burusho Cambodian Chuvash Colombian Cypriot Dai Daur Druze EastSicilian Egyptian English Ethiopian EthiopianJew Finnish French Georgian GermanyAustria Greek Hadza Han HanNchina Hazara Hezhen Hungarian IndianJew Indian Iranian Ireland Japanese Jordanian Kalash Karitiana Lahu Lezgin Lithuanian Makrani Mandenka Maya MbutiPygmy Melanesian Miao Mongola Moroccan Mozabite Myanmar Naxi NorthItalian Norwegian Orcadian Oroqen Palestinian Papuan Pathan Pima Polish Romanian Russian Sandawe SanNamibia SanKhomani Sardinian Saudi Scottish She Sindhi SouthItalian Spanish Surui Syrian Tu Tujia Tunisian Turkish Tuscan UAE Uygur Uzbekistani Welsh WestSicilian Xibo Yakut Yemeni Yi
BrahuiYorubaSimulation1 0.980726 1.244148 5.938987 2.174427 1.335197 2.351376 2.557828 1.701891 6.047937 2.014793 2.156589 0.424010 2.472065 0.492186 0.825844 0.447227 0.509725 4.808726 0.489324 1.252434 0.209013 1.909994 1.614211 0.115035 2.099702 3.125390 1.146743 1.450098 0.084877 2.491325 0.449104 1.654020 0.500313 0.754428 1.950512 2.082722 1.916593 1.001200 1.244188 1.307319 1.825893 0.962874 0.446065 1.769014 0.660109 10.958763 3.868568 1.333215 0.961233 0.490251 0.559130 0.475567 2.845391 1.966658 0.128448 0.285018 0.593447 1.839954 0.999239 0.393390 2.838296 1.168024 2.175973 0.501041 1.507057 1.102941 3.105153 1.799986 0.603346 2.034467 2.395045 1.060316 0.759749 0.395253 5.261425 1.431530 2.720161 0.359083 1.378596 0.918276 1.324552 1.441461 1.382403 0.890058 0.460505 0.644571 1.007773 0.232253 0.797761 0.347138 1.692896 0.361961 0.646941
BrahuiYorubaSimulation2 3.806902 1.650509 9.204514 1.849115 0.897963 1.467758 8.427856 0.642216 1.986083 1.616623 4.083005 0.391594 1.544059 0.226535 1.880072 0.355840 0.282920 3.102616 0.894908 0.727852 0.514769 0.751091 0.748049 0.071483 2.176662 2.563320 0.319382 2.556418 0.719631 1.568278 0.538526 1.133766 0.991382 1.493992 1.042370 2.608352 2.947443 0.721340 1.508470 1.975020 4.075261 0.437634 0.251963 1.853671 1.426491 4.769945 1.573751 1.207631 0.332897 0.940545 0.433014 0.298011 2.160643 2.817445 0.104154 0.231576 0.975810 1.711180 1.729630 0.474992 4.306761 0.929846 3.216050 0.790785 0.938845 1.114508 1.796889 4.414101 0.083656 1.749083 1.381506 0.780382 0.972581 0.330477 5.675583 0.879169 1.818022 0.344198 2.004513 0.886917 1.157747 1.360897 1.542929 0.499253 0.836451 0.847513 0.997872 0.180694 1.106252 0.354782 1.106068 0.753403 0.487786
BrahuiYorubaSimulation3 1.504029 1.757353 12.370452 5.482675 2.233986 1.438926 3.753016 0.270507 5.949345 1.155343 1.602931 0.936723 1.122107 0.220033 0.553515 0.242291 0.276125 4.743408 0.829771 0.501804 0.446679 1.319489 0.872460 0.240680 1.560667 1.465400 0.261949 1.237942 0.315385 1.879091 0.440253 2.789885 0.296109 1.201243 1.517562 0.976668 1.922736 0.285325 0.695895 1.217688 1.629341 0.639511 0.542865 1.328620 0.885604 7.892135 10.545524 0.774056 1.275076 0.369217 0.281272 1.056147 3.088966 3.259795 0.054076 0.221313 0.530604 1.836071 0.895522 0.380166 2.955132 0.697632 4.032731 0.287075 0.937162 0.564744 2.660459 2.712737 0.375671 2.682105 1.856350 0.428458 0.328196 0.201619 2.584793 2.005803 3.727085 0.478901 2.144015 0.301668 0.262729 0.771738 1.534061 0.369760 0.334865 0.707088 0.752558 0.204840 0.581903 0.668502 1.288953 0.193962 0.433821
BrahuiYorubaSimulation4 0.943854 1.342760 14.015876 5.190965 1.236603 1.591420 4.280108 0.754612 7.378455 2.023020 4.148274 0.796938 1.622671 0.270255 1.136912 0.799191 0.362122 2.862109 0.887797 0.979919 0.271829 2.077204 0.676394 0.161547 2.520873 1.288889 0.183564 1.168979 0.117669 1.479941 0.509731 1.698175 0.268737 0.606236 1.446959 1.330696 1.118900 2.587132 1.103751 1.784469 2.286958 0.542034 0.231499 1.179737 1.422218 4.794401 6.139620 0.887196 1.371661 0.429189 0.336315 0.322475 1.590973 1.963389 0.109676 0.214165 0.673637 1.712481 1.016838 0.319054 3.278428 0.576099 3.377607 0.633434 1.488310 2.061654 2.275996 4.130498 0.608197 3.114465 1.361270 0.830593 0.417662 0.456317 2.659380 1.248256 2.564100 0.423663 0.896820 0.700585 0.323408 0.716419 1.854083 0.486075 1.945230 0.792970 0.642647 0.120804 0.650165 0.423666 0.829927 0.721783 0.260885
BrahuiYorubaSimulation5 1.954568 1.627198 13.723712 1.897259 2.023417 2.274786 3.421448 0.600889 1.462270 1.449382 2.956354 0.725671 0.727635 0.260600 1.355959 0.762918 0.232571 3.874187 0.492439 0.955662 0.416351 1.878382 1.646692 0.271742 1.677818 1.831925 0.261918 1.328063 0.252168 1.478299 0.708868 1.748278 0.457444 1.471378 1.519832 1.233390 1.437723 0.517096 1.566308 1.323620 2.823710 0.542530 0.250139 1.786249 0.636801 4.905190 3.358026 0.700501 1.021999 0.391377 0.312032 0.308181 2.186917 3.894043 0.164205 0.425025 0.892320 1.554928 1.636211 0.386311 4.385209 1.114076 3.538903 0.462038 1.445201 0.973634 1.942718 2.573029 0.491404 1.225307 2.422710 2.006452 0.601683 0.416354 7.638037 2.240543 2.413301 1.854117 2.104526 0.280174 0.789394 1.909765 1.211948 0.524782 1.612850 1.193252 0.866594 0.418945 0.840784 0.446530 0.999229 0.222297 0.291741
BrahuiYorubaSimulation6 2.211572 1.276280 21.068472 1.349514 0.745708 1.610985 4.458029 1.272950 2.708377 2.495782 2.626597 0.322154 1.349732 0.303957 1.715404 0.612787 0.447493 3.903950 0.534193 0.624605 0.703267 1.419615 0.664386 0.390697 2.500499 1.521160 0.148554 1.111498 0.461793 1.474412 0.392296 2.539424 0.409351 1.789669 1.750908 1.392138 0.830696 1.026568 1.090095 1.352564 1.974241 0.493802 0.521067 2.489804 0.576054 8.368472 3.073232 0.800398 0.380793 0.469947 0.509044 0.386987 1.253600 1.235513 0.073202 0.319470 0.819507 1.228190 1.109220 0.301848 3.252406 1.670353 5.292737 1.649994 2.180977 0.565085 1.881876 1.693572 0.094718 0.939789 2.194604 0.434426 0.404270 0.357523 3.993172 0.867815 2.256111 0.344252 1.190155 0.731720 0.756173 0.547310 1.562683 0.692445 1.465830 0.718449 1.317245 0.484233 0.684802 0.804833 2.308417 0.471768 0.638178
BrahuiYorubaSimulation7 1.639207 1.597160 8.965395 3.112671 0.502393 3.458430 5.164157 0.521863 2.207710 1.466929 3.158469 0.351654 1.269309 0.247033 1.154808 0.331403 0.247080 4.255775 0.618813 0.893921 0.519451 1.526983 1.508754 0.288297 3.016489 1.546792 0.476740 1.335085 0.090122 1.063844 0.222053 1.201884 0.322135 2.293898 0.462470 2.364790 1.375245 1.638859 1.466920 2.239105 2.040396 0.603386 0.373301 2.414153 2.227222 15.019977 2.750902 1.642071 0.468291 0.280953 0.305429 0.362491 1.140643 1.333080 0.293588 0.337283 0.803800 1.788653 0.745086 0.309731 4.742111 1.509143 3.438146 0.914988 1.300379 1.142048 2.435146 2.268997 0.053088 2.272420 1.927054 0.712839 0.191988 0.231964 2.672915 1.702597 2.115569 0.228571 1.143532 0.502602 0.324361 1.256677 2.143462 0.538293 0.612851 0.617269 1.021720 0.882606 1.034928 0.567057 1.169383 2.017363 0.383841
BrahuiYorubaSimulation8 2.624595 1.216455 10.107424 1.420162 2.593396 1.858094 4.446936 0.511447 2.879176 0.947949 2.168746 0.286091 1.146269 0.352738 0.725877 0.380595 0.679238 3.741866 1.070164 0.819195 0.774824 1.831301 0.829654 0.199963 2.148136 1.955390 0.309930 2.456241 0.157522 1.112485 0.408578 3.378234 0.536698 1.267461 1.330850 0.791800 2.712911 0.275556 1.654404 1.371922 2.338700 0.899538 0.311162 1.504100 1.061628 3.527045 4.398307 1.483219 0.547009 0.599843 0.454666 0.321219 1.570417 1.315872 0.115439 0.195018 1.331532 1.575113 2.143562 0.240383 7.073242 0.556436 3.529705 0.860071 1.835606 0.839940 2.884306 1.362598 0.388161 2.994894 2.787655 0.985144 0.725566 0.255180 6.749664 1.347037 2.415598 0.201818 3.167235 0.970918 0.334492 0.975896 1.172674 1.004407 0.827544 0.558427 1.888079 0.304062 1.593108 1.855279 0.946951 0.204742 0.429963
BrahuiYorubaSimulation9 1.397903 1.740915 17.394503 1.740467 2.211331 2.759442 2.936219 0.630676 1.752069 1.567080 1.988880 0.708648 2.051685 0.252647 0.691448 0.401496 0.457684 3.360690 0.968008 0.825598 0.218063 1.932852 1.243872 0.113585 2.861310 1.624977 0.162700 1.416262 0.330109 1.596178 0.407588 1.516291 0.246680 1.859305 0.812236 1.514895 3.623230 1.124518 0.941795 1.342401 1.969907 0.336741 0.337420 1.127499 1.488537 8.769436 2.660697 0.996741 1.153155 0.322315 0.498922 0.358078 1.427054 2.690213 0.068037 0.274148 2.206592 1.137890 0.542992 1.230395 5.255320 0.888119 3.635071 0.557927 1.611757 0.588031 2.246690 2.113651 0.329735 1.615732 2.764373 0.514996 0.272558 0.268096 5.933448 2.606010 2.197611 0.942148 0.684493 0.581785 0.642112 1.006434 1.627519 0.472482 0.819375 0.515371 0.572892 0.137622 1.045319 0.339683 1.818586 0.138285 0.374206
BrahuiYorubaSimulation10 1.402508 2.801771 7.967138 1.265408 1.437406 2.527872 3.598943 1.104929 1.387329 2.317439 4.997744 0.276248 2.596544 0.278719 1.174292 0.756984 0.246936 5.119150 0.716355 1.057222 0.779287 0.947038 0.863419 0.145281 2.603988 3.919550 0.710285 2.124126 0.072862 0.988951 0.369977 1.268399 0.241521 1.505763 0.351108 1.783147 2.232722 0.447394 1.482172 2.437318 2.391161 0.310973 0.452035 2.145131 1.135389 9.385235 3.258144 1.146365 0.718079 1.220765 0.350052 0.608112 1.735052 2.059774 0.143695 0.210698 1.707724 1.018746 1.372189 0.276448 3.514604 0.788266 4.665790 0.382615 1.511299 1.838235 1.814362 1.935441 0.087079 2.595453 1.807871 1.322341 0.502536 0.217176 5.309444 1.562318 3.440135 0.292173 1.414083 0.507016 0.358040 1.267781 1.294001 0.488373 0.741892 0.623259 1.414422 0.350150 1.023569 0.374772 1.186817 0.144221 0.713897
