ID	pheno
CB57	0
CB14	0
T001	0
T171	0
CB10	0
CB11	0
CB12	0
CB13	0
CB15	0
CB16	0
CB18	0
CB19	0
CB2	0
CB20	0
CB21	0
CB22	0
CB23	0
CB24	0
CB25	0
CB27	0
CB28	0
CB29	0
CB3	0
CB30	0
CB32	0
CB33	0
CB34	0
CB36	0
CB37	0
CB38	0
CB39	0
CB4	0
CB41	0
CB42	0
CB44	0
CB45	0
CB46	0
CB47	0
CB48	0
CB49	0
CB5	0
CB50	0
CB51	0
CB52	0
CB53	0
CB54	0
CB55	0
CB58	0
CB59	0
CB6	0
CB60	0
CB61	0
CB62	0
CB63	0
CB64	0
CB66	0
CB67	0
CB68	0
CB69	0
CB7	0
CB72	0
CB73	0
CB74	0
CB75	0
CB76	0
CB77	0
CB79	0
CB8	0
CB80	0
CB81	0
CB82	0
CB83	0
CB84	0
CB85	0
CB86	0
CB87	0
CB88	0
CB89	0
CB9	0
CB90	0
T012	0
T019	0
T020	0
T022	0
T026	0
T028	0
T029	0
T031	0
T063	0
T073	0
T076	0
T082	0
T085	0
T088	0
T100	0
T102	0
T103	0
T107	0
T108	0
T109	0
T111	0
T122	0
T123	0
T125	0
T127	0
T130	0
T134	0
T138	0
T146	0
T151	0
T153	0
T155	0
T157	0
T158	0
T159	0
T163	0
T164	0
T165	0
T166	0
T168	0
T170	0
T174	0
T175	0
T181	0
T190	0
T191	0
T192	0
T194	0
T197	0
T201	0
T202	0
T210	0
T211	0
T212	0
T213	0
T216	0
T217	0
T220	0
T223	0
T226	0
T228	0
T229	0
T234	0
T236	0
T237	0
T238	0
T239	0
T242a	0
T246	0
T247	0
T250	0
T254	0
T256	0
T257	0
T258	0
T260	0
T261	0
T262	0
T264	0
T266	0
T267	0
T268	0
T271	0
T277	0
T279	0
T281	0
T290	0
T293	0
T294	0
T298	0
T299	0
T300	0
T302	0
T303	0
T311	0
T319	0
T320	0
CB1	0
CB70	0
CB71	0
CB78	0
CB91	0
T128	0
T156	0
T183	0
GCA_009689985.1	1
GCA_009689695.1	1
GCA_009690315.1	1
GCA_009691005.1	1
GCA_009689625.1	1
GCA_009689805.1	1
GCA_009689925.1	1
GCA_009690015.1	1
GCA_009690045.1	1
GCA_009690185.1	1
GCA_009690225.1	1
GCA_009690275.1	1
GCA_009690345.1	1
GCA_009690375.1	1
GCA_009690985.1	1
CB17	1
CB26	1
CB31	1
CB35	1
CB56	1
CB65	1
GCA_009689605.1	1
GCA_009689615.1	1
GCA_009689635.1	1
GCA_009689685.1	1
GCA_009689705.1	1
GCA_009689745.1	1
GCA_009689755.1	1
GCA_009689765.1	1
GCA_009689815.1	1
GCA_009689835.1	1
GCA_009689865.1	1
GCA_009689875.1	1
GCA_009689885.1	1
GCA_009689945.1	1
GCA_009689965.1	1
GCA_009689995.1	1
GCA_009690065.1	1
GCA_009690075.1	1
GCA_009690105.1	1
GCA_009690125.1	1
GCA_009690135.1	1
GCA_009690145.1	1
GCA_009690205.1	1
GCA_009690235.1	1
GCA_009690255.1	1
GCA_009690305.1	1
GCA_009690355.1	1
GCA_009690405.1	1
GCA_009690425.1	1
T133	1
T137	1
T167	1
T209	1

