strain,Pop,fs_pop,level
CB65,H.pylori,hspHeco1,low
T281,H.pylori,hspHeco1,low
CB86,H.pylori,hspHeco1,low
CB84,H.pylori,hspHeco1,low
CB54,H.pylori,hspHeco1,low
CB77,H.pylori,hspHeco1,low
HEL_CA3497AA_AS,H.pylori,hspHeco1,low
HEL_CA3364AA_AS,H.pylori,hspHeco1,low
CB68,H.pylori,hspHeco1,low
CB72,H.pylori,hspHeco1,low
CB25,H.pylori,hspHeco1,low
CB78,H.pylori,hspHeco1,low
HEL_CA3487AA_AS,H.pylori,hspHeco1,low
CB63,H.pylori,hspHeco1,low
HEL_BA4732AA_AS,H.pylori,hspHeco1,low
T138,H.pylori,hspHeco1,low
HEL_CA3501AA_AS,H.pylori,hspHeco1,low
HEL_CA3450AA_AS,H.pylori,hspHeco1,low
HEL_CA3308AA_AS,H.pylori,hspHeco1,low
HEL_CA4083AA_AS,H.pylori,hspHeco1,low
HEL_CA4043AA_AS,H.pylori,hspHeco1,low
HEL_CA4031AA_AS,H.pylori,hspHeco1,low
HEL_CA3475AA_AS,H.pylori,hspHeco1,low
HEL_CA3559AA_AS,H.pylori,hspHeco1,low
HEL_CA3328AA_AS,H.pylori,hspHeco1,low
HEL_CA4088AA_AS,H.pylori,hspHeco1,low
HEL_CA3334AA_AS,H.pylori,hspHeco1,low
HEL_CA4074AA_AS,H.pylori,hspHeco1,low
HEL_CA3545AA_AS,H.pylori,hspHeco1,low
HEL_CA3502AA_AS,H.pylori,hspHeco1,low
HEL_CA3347AA_AS,H.pylori,hspHeco1,low
CB55,H.pylori,hspHeco1,low
CB17,H.pylori,hspHeco1,low
CB12,H.pylori,hspHeco1,low
CB58,H.pylori,hspHeco1,low
CB45,H.pylori,hspHeco1,low
CB83,H.pylori,hspHeco1,low
CB29,H.pylori,hspHeco1,low
CB33,H.pylori,hspHeco1,low
CB2,H.pylori,hspHeco1,low
CB76,H.pylori,hspHeco1,low
CB52,H.pylori,hspHeco1,low
HEL_CA4032AA_AS,H.pylori,hspHeco1,low
T209,H.pylori,hspHeco1,low
CB70,H.pylori,hspHeco1,low
T123,H.pylori,hspHeco1,low
T271,H.pylori,hspHeco1,low
T217,H.pylori,hspHeco1,low
T212,H.pylori,hspHeco1,low
CB23,H.pylori,hspHeco1,low
CB20,H.pylori,hspHeco1,low
HEL_CA3552AA_AS,H.pylori,hspHeco1,low
CB26,H.pylori,hspHeco1,low
CB30,H.pylori,hspHeco1,low
CB35,H.pylori,hspHeco1,low
CB31,H.pylori,hspHeco1,low
HEL_CA3404AA_AS,H.pylori,hspHeco2,high
HEL_CA3384AA_AS,H.pylori,hspHeco2,high
CB50,H.pylori,hspHeco2,high
HEL_CA3398AA_AS,H.pylori,hspHeco2,high
HEL_CA3353AA_AS,H.pylori,hspHeco2,high
HEL_CA3467AA_AS,H.pylori,hspHeco2,high
HEL_CA3464AA_AS,H.pylori,hspHeco2,high
HEL_CA3415AA_AS,H.pylori,hspHeco2,high
HEL_CA4033AA_AS,H.pylori,hspHeco2,high
HEL_CA3357AA_AS,H.pylori,hspHeco2,high
HEL_CA6863AA_AS,H.pylori,hspHeco2,high
HEL_CA3424AA_AS,H.pylori,hspHeco2,high
HEL_CA3296AA_AS,H.pylori,hspHeco2,high
CB39,H.pylori,hspHeco2,high
T257,H.pylori,hspHeco2,high
CB64,H.pylori,hspHeco2,high
CB90,H.pylori,hspHeco2,high
CB66,H.pylori,hspHeco2,high
T159,H.pylori,hspHeco2,high
T158,H.pylori,hspHeco2,high
T088,H.pylori,hspHeco2,high
T085,H.pylori,hspHeco2,high
T156,H.pylori,hspHeco2,high
CB11,H.pylori,hspHeco2,high
T012,H.pylori,hspHeco2,high
T234,H.pylori,hspHeco2,high
T130,H.pylori,hspHeco2,high
