Recipient,hpAfrica1,hpAfrica2,hpAsia2,hpEurope,hpNEAfrica,hpNorthAsia,hpSahul,hpSiberia,hspHAEAsiaN,hspHAEAsiaS,hspLASEAsia,hspLAEAJapan,属性
GCA_000274385.2,2024.235387,46.551958,102.791768,391.315216,399.375411,59.078001,47.092442,68.786038,46.434535,52.278482,66.310322,46.406981,hpAfrica1
HEL_CA6473AA_AS,202.38913,35.449257,588.295531,502.37981,394.30621,215.503305,115.217532,251.804346,329.760579,311.58878,712.117717,318.033329,hpAsia2
HEL_CA5827AA_AS,152.10875,24.486749,630.742891,487.30385,262.317887,214.703145,104.368787,254.107715,370.632318,340.644213,746.781378,315.362259,hpAsia2
GCA_006439715.1,180.425058,28.393895,634.259367,569.309774,357.782457,221.451115,104.168185,257.133052,311.675597,320.073713,709.002653,285.091332,hpAsia2
HEL_AA5923AA_AS,55.074244,26.699947,830.967966,317.882841,95.716216,323.991392,88.961978,504.653138,551.07933,476.849311,260.221804,250.64503,hpAsia2_Eco
HEL_AA6042AA_AS,60.319389,26.803833,1019.678152,341.78828,94.447454,274.996156,100.290413,487.995835,465.623377,439.049126,220.67538,246.865293,hpAsia2_Eco
HEL_CA3314AA_AS,48.354156,17.587674,673.702258,239.22073,69.308511,269.712076,79.276776,374.655586,602.718033,609.883942,268.666476,242.563067,hpAsia2_Eco
HEL_CA4837AA_AS,69.012966,25.425138,805.734668,379.648517,138.436724,253.276645,92.352511,439.069791,530.673954,593.682899,296.967445,263.823164,hpAsia2_Eco
HEL_CA4840AA_AS,87.773504,27.074412,774.093072,371.801174,171.754251,233.411724,87.15403,319.152137,561.865177,577.533834,310.994989,229.429197,hpAsia2_Eco
HEL_AA0320AA_AS,59.867824,25.089239,1110.58993,369.730649,100.153294,252.014376,91.251217,444.203214,460.692128,399.949571,236.448709,192.300525,hpAsia2_Eco
HEL_CA4448AA_AS,105.541066,14.257039,22.174139,205.47381,33.231025,22.495961,27.749254,27.022972,40.296832,43.97518,25.812358,15.9151,hpEurope
HEL_CA4445AA_AS,157.473363,20.530401,22.805251,204.997835,52.619757,23.227896,25.19596,27.44483,38.261402,37.474617,29.730732,23.414623,hpEurope
HEL_CA4227AA_AS,127.075302,23.403092,21.627721,222.939683,40.670949,25.993132,30.893347,26.327091,33.852492,41.829609,21.266302,28.220596,hpEurope
HEL_CA3975AA_AS,89.082958,20.555397,26.066211,190.710022,29.480701,25.015466,29.437149,45.650721,35.250983,34.914061,24.46567,19.307606,hpEurope
HEL_CA3904AA_AS,96.230988,15.709211,27.864454,201.803962,32.095136,22.606687,25.117602,31.665986,61.815404,60.283174,30.499124,25.244011,hpEurope
HEL_CA3543AA_AS,121.238641,19.558916,28.905035,214.793621,44.036606,21.227366,28.872375,35.924307,51.873141,56.487275,26.59896,19.10752,hpEurope
HEL_BA3942AA_AS,271.909068,40.334851,197.321348,543.799854,211.504445,495.909713,91.71525,463.206217,356.728191,346.750643,399.342907,345.323483,hpEurope
HEL_AA0105AA_AS,439.238834,60.528395,252.761789,680.854171,361.564573,436.622596,102.799983,471.922673,349.224619,318.085679,360.620537,329.328748,hpEurope
HEL_CA6755AA_AS,220.509093,49.608318,466.727366,398.147905,1100.961389,181.885659,92.489586,200.06282,281.547901,277.953215,414.462039,279.997535,hpNEAfrica
HEL_CA5651AA_AS,146.717417,29.226957,246.915889,265.226185,561.609617,260.241056,142.920979,224.334089,439.75659,388.640534,755.307674,381.305035,hpNEAfrica
HEL_CA0506AA_AS,405.618319,40.215357,289.061751,470.180887,655.171708,204.276996,91.225082,184.093358,327.752959,269.766387,777.696647,295.660753,hpNEAfrica
HEL_BA8732AA_AS,353.55451,56.225413,407.727155,556.066811,634.000453,226.081783,120.994594,218.373489,323.908641,298.755325,653.055215,294.48473,hpNEAfrica
HEL_CA0051AA_AS,120.909978,27.711697,148.824067,234.566612,89.216985,636.285097,117.494441,543.865479,428.428769,363.848589,420.268525,435.755763,hpNorthAsia
HEL_CA5280AA_AS,36.949355,16.324298,125.339761,104.480283,55.588707,820.584042,62.789484,396.049616,381.560821,402.064998,369.554733,508.289258,hpNorthAsia
HEL_CA5111AA_AS,30.733683,17.412983,138.164048,112.491798,51.245258,883.936844,54.783077,410.750633,396.473654,365.82079,333.299742,478.42966,hpNorthAsia
HEL_CA0617AA_AS,30.415744,16.244903,105.045563,71.602539,40.00418,925.677733,53.578218,448.195743,388.685188,339.666772,341.633243,459.858664,hpNorthAsia
HEL_CA0615AA_AS,34.252662,18.03751,117.517886,101.401024,35.642806,902.284252,53.460238,388.596515,362.61998,378.69198,352.114328,491.810754,hpNorthAsia
