strain,fs_pop
GCA_034856295.1,hsp1
HEL_CA6199AA_AS,hsp1
HEL_CA5719AA_AS,hsp1
HEL_BA5597AA_AS,hsp1
HEL_CA6238AA_AS,hsp1
HEL_BA9901AA_AS,hsp1
GCA_013431865.1,hsp1
HEL_CA0435AA_AS,hsp1
HEL_BA9918AA_AS,hsp1
GCA_013429345.1,hsp1
GCA_013427465.1,hsp1
HEL_CA0373AA_AS,hsp1
GCA_013431485.1,hsp1
HEL_BA9524AA_AS,hsp1
HEL_CA0092AA_AS,hsp1
HEL_BA5590AA_AS,hsp1
HEL_CA4964AA_AS,hsp1
GCA_013431955.1,hsp1
GCA_006440055.1,hsp1
HEL_CA5089AA_AS,hsp1
HEL_BA9987AA_AS,hsp1
GCA_013430835.1,hsp1
GCA_013431735.1,hsp1
GCA_018120515.1,hsp1
GCA_034863055.1,hsp1
GCA_013427785.1,hsp1
HEL_CA0222AA_AS,hsp1
HEL_CA4633AA_AS,hsp1
HEL_CA5902AA_AS,hsp1
GCA_013427615.1,hsp1
GCA_013428395.1,hsp1
HEL_CA6294AA_AS,hsp1
HEL_CA0095AA_AS,hsp1
HEL_CA0080AA_AS,hsp1
HEL_CA6793AA_AS,hsp1
HEL_CA6201AA_AS,hsp1
GCA_035108005.1,hsp1
Mandalay38,hsp1
GCA_035110265.1,hsp1
HEL_CA5126AA_AS,hsp1
GCA_001940025.1,hsp1
GCA_013431935.1,hsp1
GCA_013430705.1,hsp1
GCA_013431245.1,hsp1
GCA_013429815.1,hsp1
HEL_CA6240AA_AS,hsp1
HEL_AA6795AA_AS,hsp1
HEL_CA4779AA_AS,hsp1
HEL_BA9913AA_AS,hsp1
GCA_013427945.1,hsp1
GCA_013430935.1,hsp1
HEL_CA6279AA_AS,hsp1
GCA_013431055.1,hsp1
GCA_013430255.1,hsp1
HEL_CA0099AA_AS,hsp1
HEL_CA5716AA_AS,hsp1
HEL_CA5738AA_AS,hsp1
HEL_CA5832AA_AS,hsp1
HEL_CA4961AA_AS,hsp1
GCA_013428605.1,hsp1
HEL_CA3153AA_AS,hsp1
HEL_BA9939AA_AS,hsp1
GCA_035115545.1,hsp1
HEL_CA0158AA_AS,hsp1
GCA_013430665.1,hsp1
GCA_013432075.1,hsp1
GCA_034860485.1,hsp1
HEL_CA6193AA_AS,hsp1
HEL_BA4683AA_AS,hsp1
HEL_CA6403AA_AS,hsp1
HEL_BA9052AA_AS,hsp1
HEL_CA4947AA_AS,hsp1
HEL_CA0214AA_AS,hsp1
HEL_CA5507AA_AS,hsp1
HEL_CA0594AA_AS,hsp1
HEL_CA4619AA_AS,hsp1
GCA_001940015.1,hsp1
HEL_BA4158AA_AS,hsp1
GCA_013429535.1,hsp1
HEL_CA0412AA_AS,hsp1
HEL_CA0432AA_AS,hsp1
HEL_CA4786AA_AS,hsp1
GCA_018328145.1,hsp1
GCA_035062085.1,hsp1
GCA_034945485.1,hsp1
GCA_013429195.1,hsp1
HEL_AA6080AA_AS,hsp1
GCA_013428675.1,hsp1
GCA_004117955.1,hsp1
GCA_013430975.1,hsp1
HEL_AA2005AA_AS,hsp1
HEL_CA5699AA_AS,hsp1
GCA_013430345.1,hsp1
GCA_013430755.1,hsp1
HEL_BA9954AA_AS,hsp1
GCA_013431555.1,hsp1
HEL_CA0407AA_AS,hsp1
HEL_BA8831AA_AS,hsp1
GCA_001940145.1,hsp1
GCA_013431705.1,hsp1
HEL_CA6243AA_AS,hsp1
HEL_CA0148AA_AS,hsp1
HEL_BA9960AA_AS,hsp1
GCA_009690985.1,hsp1
GCA_034856315.1,hsp1
HEL_CA6776AA_AS,hsp1
GCA_013429295.1,hsp1
GCA_013429765.1,hsp1
HEL_CA6189AA_AS,hsp1
HEL_CA4778AA_AS,hsp1
GCA_013431995.1,hsp1
HEL_CA0191AA_AS,hsp1
HEL_CA0600AA_AS,hsp1
GCA_001939585.1,hsp1
HEL_CA6223AA_AS,hsp1
HEL_BA9934AA_AS,hsp1
GCA_013431525.1,hsp1
HEL_CA3950AA_AS,hsp1
HEL_BA9958AA_AS,hsp1
GCA_013183985.1,hsp1
HEL_BA9937AA_AS,hsp1
GCA_013428245.1,hsp1
GCA_013429095.1,hsp1
HEL_CA6835AA_AS,hsp1
HEL_CA5951AA_AS,hsp1
GCA_009689835.1,hsp2
HEL_CA4700AA_AS,hsp2
GCA_035061405.1,hsp2
HEL_CA6746AA_AS,hsp2
GCA_013429475.1,hsp2
HEL_CA4696AA_AS,hsp2
HEL_CA4618AA_AS,hsp2
HEL_CA0585AA_AS,hsp2
HEL_CA4715AA_AS,hsp2
GCA_013427675.1,hsp2
HEL_CA0096AA_AS,hsp2
HEL_CA5111AA_AS,hsp2
HEL_CA0631AA_AS,hsp2
HEL_CA0598AA_AS,hsp2
HEL_CA4710AA_AS,hsp2
HEL_BA9991AA_AS,hsp2
GCA_035060955.1,hsp2
GCA_013428885.1,hsp2
HEL_CA4716AA_AS,hsp2
HEL_CA6020AA_AS,hsp2
