Position(bp)	Rate(cM/Mb)	Map(cM)
1	16.85	0.3370
10001	16.85	0.3370
20001	16.85	0.5055
30001	16.85	0.6740
40001	16.85	0.8425
50001	16.85	1.0110
60001	16.85	1.1795
70001	16.85	1.3480
80001	16.85	1.5165
90001	16.85	1.6850
100001	16.85	1.8535
110001	16.85	2.0220
120001	16.85	2.1905
130001	16.85	2.3590
140001	16.85	2.5275
150001	16.85	2.6960
160001	16.85	2.8645
170001	16.85	3.0330
180001	16.85	3.2015
190001	16.85	3.3700
200001	16.85	3.5385
210001	16.85	3.7070
220001	16.85	3.8755
230001	16.85	4.0440
240001	16.85	4.2125
250001	16.85	4.3810
260001	16.85	4.5495
270001	16.85	4.7180
280001	16.85	4.8865
290001	16.85	5.0550
300001	16.85	5.2235
310001	16.85	5.3920
320001	16.85	5.5605
330001	16.85	5.7290
340001	16.85	5.8975
350001	16.85	6.0660
360001	16.85	6.2345
370001	16.85	6.4030
380001	16.85	6.5715
390001	16.85	6.7400
400001	16.85	6.9085
410001	16.85	7.0770
420001	16.85	7.2455
430001	16.85	7.4140
440001	16.85	7.5825
450001	16.85	7.7510
460001	16.85	7.9195
470001	16.85	8.0880
480001	16.85	8.2565
490001	16.85	8.4250
500001	16.85	8.5935
510001	16.85	8.7620
520001	16.85	8.9305
530001	16.85	9.0990
540001	16.85	9.2675
550001	16.85	9.4360
560001	16.85	9.6045
570001	16.85	9.7730
580001	16.85	9.9415
590001	16.85	10.1100
600001	16.85	10.2785
610001	16.85	10.4470
620001	16.85	10.6155
630001	16.85	10.7840
640001	16.85	10.9525
650001	16.85	11.1210
660001	16.85	11.2895
670001	16.85	11.4580
680001	16.85	11.6265
690001	16.85	11.7950
700001	16.85	11.9635
710001	16.85	12.1320
720001	16.85	12.3005
730001	16.85	12.4690
740001	16.85	12.6375
750001	16.85	12.8060
760001	16.85	12.9745
770001	16.85	13.1430
780001	16.85	13.3115
790001	16.85	13.4800
800001	16.85	13.6485
810001	16.85	13.8170
820001	16.85	13.9855
830001	16.85	14.1540
840001	16.85	14.3225
850001	16.85	14.4910
860001	16.85	14.6595
870001	16.85	14.8280
880001	16.85	14.9965
890001	16.85	15.1650
900001	16.85	15.3335
910001	16.85	15.5020
920001	16.85	15.6705
930001	16.85	15.8390
940001	16.85	16.0075
950001	16.85	16.1760
960001	16.85	16.3445
970001	16.85	16.5130
980001	16.85	16.6815
990001	16.85	16.8500
1000001	16.85	17.0185
1010001	16.85	17.1870
1020001	16.85	17.3555
1030001	16.85	17.5240
1040001	16.85	17.6925
1050001	16.85	17.8610
1060001	16.85	18.0295
1070001	16.85	18.1980
1080001	16.85	18.3665
1090001	16.85	18.5350
1100001	16.85	18.7035
1110001	16.85	18.8720
1120001	16.85	19.0405
1130001	16.85	19.2090
1140001	16.85	19.3775
1150001	16.85	19.5460
1160001	16.85	19.7145
1170001	16.85	19.8830
1180001	16.85	20.0515
1190001	16.85	20.2200
1200001	16.85	20.3885
1210001	16.85	20.5570
1220001	16.85	20.7255
1230001	16.85	20.8940
1240001	16.85	21.0625
1250001	16.85	21.2310
1260001	16.85	21.3995
1270001	16.85	21.5680
1280001	16.85	21.7365
1290001	16.85	21.9050
1300001	16.85	22.0735
1310001	16.85	22.2420
1320001	16.85	22.4105
1330001	16.85	22.5790
1340001	16.85	22.7475
1350001	16.85	22.9160
1360001	16.85	23.0845
1370001	16.85	23.2530
1380001	16.85	23.4215
1390001	16.85	23.5900
1400001	16.85	23.7585
1410001	16.85	23.9270
1420001	16.85	24.0955
1430001	16.85	24.2640
1440001	16.85	24.4325
1450001	16.85	24.6010
1460001	16.85	24.7695
1470001	16.85	24.9380
1480001	16.85	25.1065
1490001	16.85	25.2750
1500001	16.85	25.4435
